Address,City,State,Zip Code,Price,Sqft,Date Listed
123 Main St,Dallas,TX,75001,350000,2500,2023-01-01
456 Oak Ave,Houston,TX,77002,450000,3000,2023-01-05
789 Pine Blvd,Austin,TX,73301,275000,2000,2023-01-10
101 Maple Dr,San Antonio,TX,325000,2200,2023-01-12
202 Birch Ln,El Paso,TX,275000,1800,2023-01-15
303 Cedar St,Dallas,TX,75002,420000,2800,2023-01-17
404 Oakwood Dr,Plano,TX,75093,550000,3500,2023-01-20
505 Willow Way,Fort Worth,TX,76101,375000,2400,2023-01-22
606 Elm St,Garland,TX,75040,325000,2100,2023-01-25
707 Cherry Ave,Irving,TX,75060,400000,2600,2023-01-28
